authors,title,journal,volume,page,year,publication_type,issn,doi,handle,arxiv,biorxiv,tags
"Gil-Ley, Bottaro, Bussi",Empirical Corrections to the Amber RNA Force Field with Target Metadynamics,JOURNAL OF CHEMICAL THEORY AND COMPUTATION,12,2790,2016,journal article,1549-9618,10.1021/acs.jctc.6b00299,20.500.11767/11774,1605.00934,,#erc2012
Gil Ley,Enhanced sampling and force field corrections for RNA oligomers,PHD THESIS,,,2016,PhD thesis,,,20.500.11767/4628,,,
"Bottaro, Banáš, Šponer, Bussi",Free Energy Landscape of GAGA and UUCG RNA Tetraloops,JOURNAL OF PHYSICAL CHEMISTRY LETTERS,7,4032,2016,journal article,1948-7185,10.1021/acs.jpclett.6b01905,20.500.11767/15962,1609.07898,,#erc2012
"Bottaro, Gil-Ley, Bussi",RNA folding pathways in stop motion,NUCLEIC ACIDS RESEARCH,44,5883,2016,journal article,0305-1048,10.1093/nar/gkw239,20.500.11767/11768,1603.08952,,#erc2012
Pinamonti,Studying the dynamical properties of small RNA molecules with computational techniques,PHD THESIS,,,2016,PhD thesis,,,20.500.11767/4905,,,
"Ferrarotti, Bottaro, Pérez-Villa, Bussi",Accurate multiple time step in biased molecular simulations,JOURNAL OF CHEMICAL THEORY AND COMPUTATION,11,139,2015,journal article,1549-9618,10.1021/ct5007086,20.500.11767/11876,1412.3916,,#erc2012
"Pérez-Villa, Darvas, Bussi",ATP dependent NS3 helicase interaction with RNA: Insights from molecular simulations,NUCLEIC ACIDS RESEARCH,43,8725,2015,journal article,0305-1048,10.1093/nar/gkv872,20.500.11767/14395,1508.05199,,#erc2012 #iscrab2012b
"Pinamonti, Bottaro, Micheletti, Bussi",Elastic network models for RNA: A comparative assessment with molecular dynamics and SHAPE experiments,NUCLEIC ACIDS RESEARCH,43,7260,2015,journal article,0305-1048,10.1093/nar/gkv708,20.500.11767/12537,1506.09178,,#erc2012
"Gil-Ley, Bussi",Enhanced conformational sampling using replica exchange with collective-variable tempering,JOURNAL OF CHEMICAL THEORY AND COMPUTATION,11,1077,2015,journal article,1549-9618,10.1021/ct5009087,20.500.11767/16966,1502.02115,,#erc2012
"Bussi, Branduardi",Free-energy calculations with metadynamics: Theory and practice,"REVIEWS IN COMPUTATIONAL CHEMISTRY, VOL 28",28,1,2015,book chapter,,10.1002/9781118889886.ch1,20.500.11767/15176,,,#bookchapter
"Stadlbauer, Kührová, Banáš, Koča, Bussi, Trantírek, Otyepka, Šponer",Hairpins participating in folding of human telomeric sequence quadruplexes studied by standard and T-REMD simulations,NUCLEIC ACIDS RESEARCH,43,9626,2015,journal article,0305-1048,10.1093/nar/gkv994,20.500.11767/12540,1509.06511,,#erc2012
"Di Palma, Bottaro, Bussi",Kissing loop interaction in adenine riboswitch: Insights from umbrella sampling simulations,BMC BIOINFORMATICS,16,S6,2015,journal article,1471-2105,10.1186/1471-2105-16-S9-S6,20.500.11767/11874,1504.07392,,#erc2012 #iscrab2013
"Bottaro, Di Palma, Bussi",Towards de novo RNA 3D Structure Prediction,RNA & DISEASE,2,e544,2015,journal article,2375-2467,10.14800/rd.544,20.500.11767/12408,1502.05667,,#erc2012
Perez Villa,Translocation of NS3 from Hepatitis C Virus on RNA: Insights from Atomistic Molecular Simulations,PHD THESIS,,,2015,PhD thesis,,,20.500.11767/4862,,,
"Di Palma, Colizzi, Bussi",Using reweighted pulling simulations to characterize conformational changes in riboswitches,COMPUTATIONAL METHODS FOR UNDERSTANDING RIBOSWITCHES,553,139,2015,book chapter,,10.1016/bs.mie.2014.10.055,20.500.11767/15196,,,#bookchapter #erc2012 #iscrab2012a
"Jaafar, Pignedoli, Bussi, Aït-Mansour, Groening, Amaya, Hirao, Fasel, Ruffieux",Bowl inversion of surface-adsorbed sumanene,JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,136,13666,2014,journal article,0002-7863,10.1021/ja504126z,20.500.11767/11873,,,
Di Palma,Conformational changes  in the adenine riboswitch,PHD THESIS,,,2014,PhD thesis,,,20.500.11767/3889,,,
"Abrams, Bussi","Enhanced sampling in molecular dynamics using metadynamics, replica-exchange, and temperature-acceleration",ENTROPY,16,163,2014,journal article,1099-4300,10.3390/e16010163,20.500.11767/15914,1401.0387,,#erc2012
Bussi,Hamiltonian replica exchange in GROMACS: A flexible implementation,MOLECULAR PHYSICS,112,379,2014,journal article,0026-8976,10.1080/00268976.2013.824126,20.500.11767/15840,1307.5144,,#erc2012 #iscrab2010
"Tribello, Bonomi, Branduardi, Camilloni, Bussi",PLUMED 2: New feathers for an old bird,COMPUTER PHYSICS COMMUNICATIONS,185,604,2014,journal article,0010-4655,10.1016/j.cpc.2013.09.018,20.500.11767/11534,1310.0980,,#firb2012 #erc2012
"Colizzi, Lamontagne, Lafontaine, Bussi","Probing riboswitch binding sites with molecular docking, focused libraries, and in-line probing assays",METHODS IN MOLECULAR BIOLOGY,1103,141,2014,book chapter,,10.1007/978-1-62703-730-3_11,20.500.11767/15102,,,#bookchapter #erc2012
"Bottaro, Di Palma, Bussi",The role of nucleobase interactions in RNA structure and dynamics,NUCLEIC ACIDS RESEARCH,42,13306,2014,journal article,0305-1048,10.1093/nar/gku972,20.500.11767/17373,1410.1271,,#erc2012
"Di Palma, Colizzi, Bussi",Ligand-induced stabilization of the aptamer terminal helix in the add adenine riboswitch,RNA,19,1517,2013,journal article,1355-8382,10.1261/rna.040493.113,20.500.11767/11521,1309.5717,,#erc2012 #iscrab2012a
"Do, Carloni, Varani, Bussi",RNA/peptide binding driven by electrostatics - Insight from bidirectional pulling simulations,JOURNAL OF CHEMICAL THEORY AND COMPUTATION,9,1720,2013,journal article,1549-9618,10.1021/ct3009914,20.500.11767/11373,1307.5565,,#erc2012 #iscraa2011
"Franco, Sgrignani, Bussi, Magistrato",Structural role of uracil DNA glycosylase for the recognition of uracil in DNA duplexes. Clues from atomistic simulations,JOURNAL OF CHEMICAL INFORMATION AND MODELING,53,1371,2013,journal article,1549-9596,10.1021/ci4001647,20.500.11767/11517,,,
"Ferretti, Mallia, Martin-Samos, Bussi, Ruini, Montanari, Harrison",Ab initio complex band structure of conjugated polymers: Effects of hydrid density functional theory and GW schemes,PHYSICAL REVIEW B,85,235105,2012,journal article,2469-9950,10.1103/PhysRevB.85.235105,20.500.11767/12390,1205.3282,,
Do,Investigating Peptide/RNA binding in Anti-HIV research by molecular simulations: electrostatic recognition and accelerated sampling,PHD THESIS,,,2012,PhD thesis,,,20.500.11767/4787,,,
"Branduardi, Bussi, Parrinello",Metadynamics with adaptive gaussians,JOURNAL OF CHEMICAL THEORY AND COMPUTATION,8,2247,2012,journal article,1549-9618,10.1021/ct3002464,20.500.11767/12023,1205.4300,,#firb2012
"Colizzi, Bussi",RNA unwinding from reweighted pulling simulations,JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,134,5173,2012,journal article,0002-7863,10.1021/ja210531q,20.500.11767/16711,1203.5866,,#firb2012 #iscrab2011
"Yusuff, Babalola, Bussi, Raugei",Role of the subunit interactions in the conformational transitions in adult human hemoglobin: An explicit solvent molecular dynamics study,JOURNAL OF PHYSICAL CHEMISTRY B,116,11004,2012,journal article,1520-6106,10.1021/jp3022908,20.500.11767/15016,1207.6904,,
"Benedetti, Micheletti, Bussi, Sekatskii, Dietler",Nonkinetic modeling of the mechanical unfolding of multimodular proteins: Theory and experiments,BIOPHYSICAL JOURNAL,101,1504,2011,journal article,0006-3495,10.1016/j.bpj.2011.07.047,20.500.11767/13930,,,
"Raiteri, Gale, Bussi",Reactive force field simulation of proton diffusion in BaZrO3 using an empirical valence bond approach,JOURNAL OF PHYSICS-CONDENSED MATTER,23,334213,2011,journal article,0953-8984,10.1088/0953-8984/23/33/334213,20.500.11767/11900,1104.0773,,
"Martin-Samos, Bussi, Ruini, Molinari, Caldas",SiO2 in density functional theory and beyond,PHYSICA STATUS SOLIDI B-BASIC SOLID STATE PHYSICS,248,1061,2011,journal article,0370-1972,10.1002/pssb.201046283,20.500.11767/14634,,,
"Martin-Samos, Bussi, Ruini, Molinari, Caldas",Unraveling effects of disorder on the electronic structure of SiO2 from first principles,PHYSICAL REVIEW B,81,081202(R),2010,journal article,1098-0121,10.1103/PhysRevB.81.081202,20.500.11767/16167,,,
"Ceriotti, Bussi, Parrinello",Colored-noise thermostats àla Carte,JOURNAL OF CHEMICAL THEORY AND COMPUTATION,6,1170,2010,journal article,1549-9618,10.1021/ct900563s,20.500.11767/13481,1204.0822,,
"Ceriotti, Bussi, Parrinello",Langevin equation with colored noise for constant-temperature molecular dynamics simulations,PHYSICAL REVIEW LETTERS,102,020601,2009,journal article,0031-9007,10.1103/PhysRevLett.102.020601,20.500.11767/13087,0812.1168,,
Bussi,A simple asynchronous replica-exchange implementation,NUOVO CIMENTO DELLA SOCIETA ITALIANA DI FISICA C-COLLOQUIA ON PHYSICS,32,61,2009,journal article,1124-1896,10.1393/ncc/i2009-10369-8,20.500.11767/16458,0812.1633,,
"Mantz, Branduardi, Bussi, Parrinello",Ensemble of Transition State Structures for the Cis-Trans Isomerization of N-Methylacetamide,JOURNAL OF PHYSICAL CHEMISTRY B,113,12521,2009,journal article,1520-6106,10.1021/jp8106556,20.500.11767/16242,,,
"Bussi, Zykova-Timan, Parrinello",Isothermal-isobaric molecular dynamics using stochastic velocity rescaling,JOURNAL OF CHEMICAL PHYSICS,130,074101,2009,journal article,0021-9606,10.1063/1.3073889,20.500.11767/14744,0901.0779,,
"Ceriotti, Bussi, Parrinello",Nuclear quantum effects in solids using a colored-noise thermostat,PHYSICAL REVIEW LETTERS,103,030603,2009,journal article,0031-9007,10.1103/PhysRevLett.103.030603,20.500.11767/16057,0903.4551,,
"Bonomi, Branduardi, Bussi, Camilloni, Provasi, Raiteri, Donadio, Marinelli, Pietrucci, Broglia, Parrinello",PLUMED: A portable plugin for free-energy calculations with molecular dynamics,COMPUTER PHYSICS COMMUNICATIONS,180,1961,2009,journal article,0010-4655,10.1016/j.cpc.2009.05.011,20.500.11767/12498,0902.0874,,
"Martin-Samos, Bussi",SaX: An open source package for electronic-structure and optical-properties calculations in the GW approximation,COMPUTER PHYSICS COMMUNICATIONS,180,1416,2009,journal article,0010-4655,10.1016/j.cpc.2009.02.005,20.500.11767/16606,,,
"Melis, Bussi, Lummis, Molteni",Trans-cis switching mechanisms in proline analogues and their relevance for the gating of the 5-HT3 receptor,JOURNAL OF PHYSICAL CHEMISTRY B,113,12148,2009,journal article,1520-6106,10.1021/jp9046962,20.500.11767/12321,,,
"Micheletti, Bussi, Laio",Optimal Langevin modeling of out-of-equilibrium molecular dynamics simulations,JOURNAL OF CHEMICAL PHYSICS,129,074105,2008,journal article,0021-9606,10.1063/1.2969761,20.500.11767/12507,0805.3606,,
"Bussi, Parrinello",Stochastic thermostats: comparison of local and global schemes,COMPUTER PHYSICS COMMUNICATIONS,179,26,2008,journal article,0010-4655,10.1016/j.cpc.2008.01.006,20.500.11767/13948,0803.4397,,
"Raiteri, Bussi, Cucinotta, Credi, Stoddart, Parrinello",Unravelling the shuttling mechanism in a photoswitchable multicomponent bistable rotaxane,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,47,3536,2008,journal article,1433-7851,10.1002/anie.200705207,20.500.11767/14670,,,
"Barducci, Bussi, Parrinello",Well-tempered metadynamics: A smoothly converging and tunable free-energy method,PHYSICAL REVIEW LETTERS,100,020603,2008,journal article,0031-9007,10.1103/PhysRevLett.100.020603,20.500.11767/16783,0803.3861,,
"Bussi, Parrinello",Accurate sampling using Langevin dynamics,PHYSICAL REVIEW E,75,056707,2007,journal article,2470-0045,10.1103/PhysRevE.75.056707,20.500.11767/16816,0803.4083,,
"Bussi, Donadio, Parrinello",Canonical sampling through velocity rescaling,JOURNAL OF CHEMICAL PHYSICS,126,014101,2007,journal article,0021-9606,10.1063/1.2408420,20.500.11767/12943,0803.4060,,
"Ceriotti, Bussi, Parrinello",Conjugate gradient heat bath for ill-conditioned actions,PHYSICAL REVIEW E,76,026707,2007,journal article,1539-3755,10.1103/PhysRevE.76.026707,20.500.11767/17410,0803.4444,,
"Bussi, Laio, Parrinello",Equilibrium free energies from nonequilibrium metadynamics,PHYSICAL REVIEW LETTERS,96,090601,2006,journal article,0031-9007,10.1103/PhysRevLett.96.090601,20.500.11767/13652,0804.0175,,
"Bussi, Gervasio, Laio, Parrinello",Free-energy landscape for β hairpin folding from combined parallel tempering and metadynamics,JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,128,13435,2006,journal article,0002-7863,10.1021/ja062463w,20.500.11767/15037,,,
"Bussi, Gervasio, Laio, Parrinello",Protein folding with combined parallel tempering and metadynamics,"High Performance Computing in Science and Engineering,",,587,2006,book chapter,,,20.500.11767/15218,,,#bookchapter
"Bussi, Chang, Ruini, Molinari",A symmetrized-basis approach to excitons in carbon nanotubes,"PHYSICS OF SEMICONDUCTORS, PTS A AND B",772,1025,2005,conference proceedings,,10.1063/1.1994460,20.500.11767/15206,,,#proceedings
"Hummer, Ambrosch-Draxl, Bussi, Ruini, Caldas, Molinari, Laskowski, Christensen",Ab-initio study of excitonic effects in conventional and organic semiconductors,PHYSICA STATUS SOLIDI B-BASIC SOLID STATE PHYSICS,242,1754,2005,journal article,0370-1972,10.1002/pssb.200461785,20.500.11767/16836,,,
"Chang, Bussi, Ruini, Molinari",First-principles approach for the calculation of optical properties of one-dimensional systems with helical symmetry: The case of carbon nanotubes,PHYSICAL REVIEW B,72,195423,2005,journal article,2469-9950,10.1103/PhysRevB.72.195423,20.500.11767/16615,,,
"Caldas, Bussi, Ruini, Molinari",Light-emitting polymers: A first-principles analysis of singlet-exciton harvesting in PPV,"PHYSICS OF SEMICONDUCTORS, PTS A AND B",772,1085,2005,conference proceedings,,10.1063/1.1994489,20.500.11767/15152,,,#proceedings
"Bussi, Menéndez, Ren, Canonico, Molinari",Quantum interferences in the Raman cross section for the radial breathing mode in metallic carbon nanotubes,PHYSICAL REVIEW B,71,041404(R),2005,journal article,2469-9950,10.1103/PhysRevB.71.041404,20.500.11767/14223,cond-mat/0408583,,
"Ferretti, Ruini, Bussi, Molinari, Caldas",Ab initio study of transport parameters in polymer crystals,PHYSICAL REVIEW B,69,205205,2004,journal article,2469-9950,10.1103/PhysRevB.69.205205,20.500.11767/16455,,,
Bussi,Effects of the electron-hole interaction on the optical properties of materials: The Bethe-Salpeter equation,PHYSICA SCRIPTA,2004,141,2004,journal article,0031-8949,10.1238/Physica.Topical.109a00141,20.500.11767/17032,,,
"Chang, Bussi, Ruini, Molinari",Excitons in carbon nanotubes: An ab initia symmetry-based approach,PHYSICAL REVIEW LETTERS,92,196401,2004,journal article,0031-9007,10.1103/PhysRevLett.92.196401,20.500.11767/11906,cond-mat/0405185,,
"Ruini, Ferretti, Bussi, Molinari, Caldas",Relationship between structural and optoelectronic properties in semiconducting polymers,SEMICONDUCTOR SCIENCE AND TECHNOLOGY,19,S362,2004,journal article,0268-1242,10.1088/0268-1242/19/4/119,20.500.11767/11903,,,
"Ruini, Bussi, Ferretti, Caldas, Molinari",Charge transport and radiative recombination in polythiophene crystals: A first-principles study,SYNTHETIC METALS,139,755,2003,journal article,0379-6779,10.1016/S0379-6779(03)00319-9,20.500.11767/16405,,,
"Bussi, Ferretti, Ruini, Caldas, Molinari",Optics and transport in conjugated polymer crystals: Interchain interaction effects,ADVANCES IN SOLID STATE PHYSICS 43,43,313,2003,book chapter,,10.1007/978-3-540-44838-9_22,20.500.11767/15177,,,#bookchapter
"Ruini, Caldas, Bussi, Molinari",Solid state effects on exciton states and optical properties of PPV,PHYSICAL REVIEW LETTERS,88,206403,2002,journal article,0031-9007,10.1103/PhysRevLett.88.206403,20.500.11767/13627,cond-mat/0203471,,
"Bussi, Ruini, Molinari, Caldas, Puschnig, Ambrosch-Draxl",Interchain interaction and Davydov splitting in polythiophene crystals: An ab initio approach,APPLIED PHYSICS LETTERS,80,4118,2002,journal article,0003-6951,10.1063/1.1483905,20.500.11767/17436,,,
"Ruini, Caldas, Bussi, Ferretti, Silva, Goldoni, Molinari",Optical properties of organic materials: from single molecules to solid state,Radiation-Matter interaction in confined systems,,155,2002,book chapter,,,20.500.11767/15080,,,#bookchapter
